RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,percent,DelqEver,DelqLast12M,PercentSatisfactoryTrades,NumTradesWBalance
Bad,61,246,20,95,18,2,2,86,11,6,4,21,0,38,0,1,1,62,,5,1,2,88,0.49019607843137253,True,True,86.0,18
Good,72,156,2,53,16,2,0,89,50,7,5,24,1,37,35,0,0,29,50.0,2,2,1,44,0.16,True,False,67.0,10
Bad,73,132,9,47,4,0,0,100,122,7,7,4,1,75,35,0,0,94,,1,1,1,100,0.16,False,False,100.0,4
Good,62,21,12,17,4,0,0,100,122,7,7,4,0,50,0,4,3,120,83.0,1,2,1,75,0.16,False,False,100.0,3
Good,85,320,17,104,18,0,0,94,46,7,6,46,0,17,0,0,0,3,75.0,1,2,0,27,0.16,True,False,39.0,12
Good,89,150,19,69,12,0,0,100,122,7,7,12,0,33,0,0,0,2,55.0,1,2,0,43,0.16,False,False,100.0,5
Good,86,337,1,102,21,0,0,100,122,7,7,22,3,27,1,4,4,3,100.0,2,4,0,50,0.16,False,False,95.0,11
Good,67,160,4,49,27,0,0,97,48,7,6,29,6,45,35,5,5,30,76.0,5,2,0,70,0.16,True,False,93.0,20
Bad,70,184,11,36,7,0,0,88,20,7,6,9,2,33,35,0,0,48,100.0,1,2,0,75,0.16,True,False,78.0,6
Bad,74,172,0,82,14,0,0,81,5,6,6,16,2,38,0,2,2,3,,2,1,0,43,0.49019607843137253,True,True,88.0,6
Bad,74,385,2,72,35,1,1,95,69,7,4,37,6,49,3,1,1,34,95.0,3,5,0,75,0.16,True,False,95.0,27
Bad,70,115,3,48,18,0,0,95,61,7,6,19,2,26,35,5,5,72,50.0,3,3,1,86,0.16,True,False,95.0,16
Good,60,177,2,116,5,6,2,50,10,6,3,9,1,17,0,1,1,38,,3,2,1,60,0.49019607843137253,True,True,56.0,5
Bad,73,139,16,61,14,0,0,100,122,7,7,14,0,14,0,3,3,59,66.0,6,1,2,78,0.16,False,False,100.0,10
Bad,60,205,4,74,32,0,0,88,4,6,6,34,5,59,35,4,4,32,62.0,4,3,0,80,0.49019607843137253,True,True,94.0,27
Bad,74,99,8,51,16,0,0,100,122,7,7,16,1,56,0,0,0,15,,5,3,1,89,0.16,False,False,100.0,14
Bad,60,144,3,24,23,0,0,100,122,7,7,24,4,9,1,4,4,60,,7,2,3,63,0.16,False,False,96.0,15
Bad,58,538,15,114,19,4,4,65,7,6,2,23,0,48,0,1,1,58,91.0,4,3,1,88,0.49019607843137253,True,True,83.0,20
Good,72,120,5,46,38,0,0,100,122,7,7,38,5,24,0,2,2,59,78.0,5,4,4,56,0.16,False,False,100.0,21
Good,85,346,3,68,35,0,0,97,62,7,6,39,7,36,0,3,3,1,64.0,1,3,0,25,0.16,True,False,90.0,9
Good,81,201,18,92,30,0,0,100,122,7,7,32,0,50,35,0,0,21,84.0,3,3,0,86,0.16,False,False,94.0,27
Good,70,210,9,65,10,2,2,90,17,7,6,10,1,40,0,0,0,40,48.0,3,3,1,86,0.16,True,False,100.0,8
Bad,75,278,3,93,17,0,0,100,122,7,7,17,4,47,2,2,2,43,,3,2,1,100,0.16,False,False,100.0,17
Good,61,178,12,91,18,2,1,89,2,5,5,22,0,20,35,0,0,35,20.0,6,3,0,82,0.49019607843137253,True,True,82.0,18
Good,83,165,7,92,33,0,0,100,122,7,7,50,1,68,0,1,1,16,85.0,3,6,0,69,0.16,False,False,66.0,34
Good,85,293,6,94,40,0,0,100,122,7,7,42,3,14,0,0,0,4,,4,2,0,25,0.16,False,False,95.0,10
Good,81,356,13,116,28,0,0,100,122,7,7,31,0,24,35,0,0,34,,4,1,1,45,0.16,False,False,90.0,13
Good,84,132,6,74,17,0,0,100,122,7,7,17,1,41,0,0,0,45,35.0,3,2,0,63,0.16,False,False,100.0,10
Bad,58,246,17,128,8,2,2,78,10,6,4,9,0,22,0,0,0,74,,4,1,2,83,0.49019607843137253,True,True,89.0,7
Good,92,288,7,102,16,0,0,100,122,7,7,16,1,6,0,1,0,1,,2,2,0,29,0.16,False,False,100.0,4
Good,73,229,4,56,32,0,0,100,122,7,7,33,5,63,5,1,1,18,69.0,3,12,1,83,0.16,False,False,97.0,27
Bad,74,149,3,36,14,0,0,100,122,7,7,14,4,50,0,1,1,32,25.0,3,5,0,80,0.16,False,False,100.0,11
