RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,percent,DelqEver,DelqLast12M,PercentSatisfactoryTrades,NumTradesWBalance
Bad,62,69,5,24,8,1,1,89,33,7,6,9,3,33,1,2,2,92,,4,2,3,67,0.16,True,False,89.0,6
Bad,72,184,2,70,16,0,0,100,122,7,7,17,1,29,0,3,3,68,66.0,4,2,2,86,0.16,False,False,94.0,14
Bad,82,130,10,64,22,0,0,95,8,6,6,22,1,9,9,0,0,2,52.0,5,2,0,50,0.4901960784313725,True,True,100.0,11
Bad,75,273,0,74,21,1,1,92,11,2,2,26,3,62,0,4,4,3,75.0,3,1,1,67,0.4901960784313725,True,True,81.0,17
Bad,61,163,1,46,22,0,0,96,33,7,6,23,4,35,0,4,4,87,76.0,7,3,4,67,0.16,True,False,96.0,15
Good,58,199,37,83,23,0,0,78,6,6,6,23,0,17,0,0,0,98,2.0,12,2,8,93,0.4901960784313725,True,True,100.0,21
Bad,64,119,10,52,21,1,0,95,9,5,5,22,3,55,35,0,0,68,67.0,4,4,3,90,0.4901960784313725,True,True,95.0,19
Bad,52,195,3,66,20,2,2,75,1,6,2,24,7,29,8,0,0,88,65.0,6,3,3,90,0.4901960784313725,True,True,83.0,21
Bad,64,175,20,115,13,2,0,56,35,7,5,16,0,19,19,0,0,85,74.0,9,1,6,91,0.16,True,False,81.0,14
Bad,81,76,10,49,12,0,0,100,122,7,7,12,1,17,0,0,0,27,,2,1,0,44,0.16,False,False,100.0,5
Bad,66,307,6,125,38,3,1,79,24,7,2,49,2,48,4,1,1,45,75.0,8,3,4,65,0.16,True,False,78.0,31
Bad,78,174,2,98,18,0,0,95,62,7,6,20,2,55,0,1,1,23,57.0,1,4,0,75,0.16,True,False,90.0,15
Bad,68,142,4,61,21,0,0,90,28,7,6,21,4,43,0,6,5,45,100.0,3,2,2,63,0.16,True,False,100.0,13
Good,62,265,11,90,33,0,0,88,4,6,6,33,1,33,35,0,0,35,48.0,6,5,1,50,0.4901960784313725,True,True,100.0,16
Good,89,150,19,69,12,0,0,100,122,7,7,12,0,33,0,0,0,2,55.0,1,2,0,43,0.16,False,False,100.0,5
Bad,66,79,3,31,19,0,0,100,122,7,7,20,1,45,0,5,5,81,68.0,6,4,1,100,0.16,False,False,95.0,20
Bad,78,139,9,74,13,0,0,100,122,7,7,15,1,67,0,1,1,28,,3,1,1,100,0.16,False,False,87.0,15
Good,74,107,4,59,22,1,1,96,71,7,2,23,1,17,3,1,1,23,26.0,2,2,1,44,0.16,True,False,96.0,10
Bad,91,215,31,104,15,0,0,100,122,7,7,16,0,38,0,0,0,0,,0,1,1,25,0.16,False,False,94.0,4
Bad,56,158,2,55,31,0,0,82,2,6,6,33,5,58,0,9,9,0,96.0,1,4,1,78,0.4901960784313725,True,True,94.0,25
Good,73,229,4,56,32,0,0,100,122,7,7,33,5,63,5,1,1,18,69.0,3,12,1,83,0.16,False,False,97.0,27
Bad,73,85,6,38,10,0,0,100,122,7,7,10,2,50,0,1,1,81,,1,1,0,50,0.16,False,False,100.0,5
Bad,69,379,2,105,15,0,0,84,3,6,6,19,3,74,0,2,2,31,100.0,1,2,1,60,0.4901960784313725,True,True,79.0,11
Good,73,266,9,132,21,0,0,96,27,7,6,25,4,26,0,3,3,20,,2,2,0,45,0.16,True,False,84.0,11
Good,70,204,20,114,27,0,0,85,4,6,6,27,0,19,0,0,0,8,,2,1,0,50,0.4901960784313725,True,True,100.0,13
Bad,80,210,1,105,14,0,0,100,122,7,7,15,1,7,0,0,0,35,,4,1,1,50,0.16,False,False,93.0,7
Good,88,140,10,85,9,0,0,100,122,7,7,9,1,0,35,0,0,1,,3,2,0,50,0.16,False,False,100.0,4
Good,67,147,2,62,32,1,1,94,7,3,3,34,4,47,7,0,0,34,94.0,5,4,0,64,0.4901960784313725,True,True,94.0,21
Good,77,375,4,162,22,0,0,100,122,7,7,22,1,36,0,0,0,30,68.0,3,3,1,67,0.16,False,False,100.0,14
Good,63,211,13,76,15,2,2,74,9,4,2,19,0,5,0,7,7,1,,1,2,0,14,0.4901960784313725,True,True,79.0,2
Bad,54,298,5,107,5,7,6,38,2,4,2,13,3,15,0,0,0,44,29.0,3,2,0,83,0.4901960784313725,True,True,38.0,10
Bad,58,54,3,25,26,0,0,100,122,7,7,26,5,35,1,8,8,73,97.0,8,6,5,74,0.16,False,False,100.0,19
Bad,66,172,10,90,44,0,0,100,122,7,7,48,1,38,35,2,1,65,85.0,12,2,8,82,0.16,False,False,92.0,39
Good,92,276,11,99,25,0,0,100,122,7,7,28,1,29,6,0,0,0,,1,1,0,33,0.16,False,False,89.0,9
Good,71,205,17,92,39,0,0,100,122,7,7,41,0,25,7,0,0,47,,8,4,5,57,0.16,False,False,95.0,23
Bad,83,254,9,96,27,1,1,96,72,7,4,28,1,18,0,1,1,10,33.0,6,2,0,60,0.16,True,False,96.0,16
Good,87,85,42,63,7,0,0,100,122,7,7,7,0,29,35,1,1,2,,2,1,0,100,0.16,False,False,100.0,7
Bad,63,240,4,64,20,1,0,86,45,7,5,21,2,10,4,1,1,67,,6,1,3,70,0.16,True,False,95.0,14
Bad,62,159,6,67,14,0,0,86,3,6,6,18,3,36,0,2,2,71,93.0,2,3,1,83,0.4901960784313725,True,True,78.0,14
Good,72,188,4,57,36,0,0,97,34,7,6,36,5,56,0,3,3,6,60.0,2,13,0,65,0.16,True,False,100.0,23
Good,66,357,19,115,16,1,1,76,36,7,6,17,0,35,35,1,1,21,6.0,4,3,0,73,0.16,True,False,94.0,12
Good,66,252,1,121,28,2,2,93,21,7,6,29,1,52,35,5,5,82,,3,2,2,67,0.16,True,False,97.0,19
Good,66,74,15,43,13,0,0,100,122,7,7,14,0,23,35,0,0,68,64.0,5,1,3,75,0.16,False,False,93.0,10
Bad,61,119,7,41,17,3,3,94,13,7,6,19,2,17,0,1,1,34,58.0,5,3,2,67,0.16,True,False,89.0,12
Good,55,316,8,119,22,1,0,78,1,6,5,23,1,26,0,0,0,29,,4,2,1,50,0.4901960784313725,True,True,96.0,11
Good,83,208,10,100,40,0,0,98,62,7,6,40,2,48,0,0,0,13,88.0,4,2,0,43,0.16,True,False,100.0,17
Good,84,352,25,154,14,0,0,100,122,7,7,15,0,36,0,0,0,13,,2,1,1,50,0.16,False,False,93.0,7
Good,55,312,3,72,24,3,1,78,1,5,3,27,6,22,35,1,1,18,71.0,10,2,1,55,0.4901960784313725,True,True,89.0,14
Good,83,283,6,75,26,0,0,100,122,7,7,26,1,50,0,1,1,22,73.0,2,2,0,67,0.16,False,False,100.0,17
Bad,56,58,4,27,30,0,0,97,1,6,6,33,6,15,4,1,1,29,37.0,10,2,2,50,0.4901960784313725,True,True,91.0,16
Good,73,209,11,84,22,1,0,87,29,7,5,23,1,43,0,1,1,6,84.0,2,2,1,31,0.16,True,False,96.0,7
Bad,74,99,8,51,16,0,0,100,122,7,7,16,1,56,0,0,0,15,,5,3,1,89,0.16,False,False,100.0,14
Bad,76,212,14,87,21,0,0,100,122,7,7,21,0,33,35,0,0,40,85.0,7,2,0,90,0.16,False,False,100.0,18
Bad,56,215,1,103,21,1,1,88,1,2,6,24,4,38,35,1,1,44,,6,1,3,78,0.4901960784313725,True,True,88.0,18
Bad,64,185,2,109,15,2,1,78,55,7,2,18,3,33,0,4,4,24,80.0,3,1,0,57,0.16,True,False,83.0,10
Good,65,254,7,103,48,0,0,96,19,7,6,49,4,39,35,0,0,72,77.0,15,7,6,85,0.16,True,False,98.0,41
Good,77,373,7,91,32,0,0,97,56,7,6,32,1,22,0,0,0,26,,8,1,1,56,0.16,True,False,100.0,17
Good,77,126,8,61,25,0,0,92,42,7,6,25,4,12,7,0,0,9,100.0,7,2,0,63,0.16,True,False,100.0,15
Bad,57,164,8,66,34,19,19,94,28,7,2,35,1,34,35,0,0,14,68.0,4,6,0,77,0.16,True,False,97.0,26
Good,83,187,5,73,33,0,0,97,62,7,6,34,4,79,2,1,1,8,86.0,4,4,0,89,0.16,True,False,97.0,30
Good,70,418,6,102,19,0,0,100,122,7,7,19,5,21,0,1,1,44,,7,2,3,77,0.16,False,False,100.0,14
Good,87,441,2,103,22,0,0,100,122,7,7,23,3,48,3,2,2,3,83.0,1,3,0,33,0.16,False,False,96.0,7
Bad,70,457,3,112,10,1,1,90,73,7,6,10,4,40,0,3,3,83,92.0,1,3,1,100,0.16,True,False,100.0,10
Good,85,389,8,97,29,0,0,100,122,7,7,30,2,33,0,1,1,18,76.0,5,1,0,40,0.16,False,False,97.0,12
Bad,74,227,19,105,11,3,2,71,9,7,4,19,0,40,0,0,0,4,76.0,1,2,0,60,0.16,True,False,58.0,11
Bad,77,154,1,47,22,0,0,100,122,7,7,24,2,30,18,0,0,12,36.0,2,2,1,71,0.16,False,False,92.0,17
Bad,85,262,14,101,23,0,0,100,122,7,7,23,0,48,2,1,1,19,,3,1,0,100,0.16,False,False,100.0,23
Bad,52,169,4,87,32,0,0,84,5,6,6,37,4,32,0,3,3,92,,7,2,3,83,0.4901960784313725,True,True,86.0,30
Bad,51,169,5,70,19,0,0,62,2,6,6,21,1,33,0,0,0,87,48.0,5,2,4,64,0.4901960784313725,True,True,90.0,13
Bad,60,73,8,74,10,0,0,50,7,6,6,10,1,30,8,0,0,36,,2,2,1,29,0.4901960784313725,True,True,100.0,2
Bad,65,116,10,37,14,1,1,93,72,7,2,15,1,13,0,2,2,52,,3,1,2,56,0.16,True,False,93.0,8
Good,87,149,26,74,13,0,0,100,122,7,7,17,0,23,4,1,1,0,,0,1,0,50,0.16,False,False,76.0,8
Good,81,159,1,78,21,0,0,92,18,7,6,24,2,38,0,1,1,4,,2,2,0,50,0.16,True,False,88.0,12
Good,88,273,22,79,19,0,0,100,122,7,7,37,0,30,35,0,0,2,19.0,2,2,0,36,0.16,False,False,51.0,13
Bad,69,118,2,42,20,1,0,91,27,7,5,22,7,23,35,4,4,14,,4,1,0,55,0.16,True,False,91.0,12
Good,89,291,64,154,32,0,0,100,122,7,7,35,0,23,1,4,3,1,,2,2,0,57,0.16,False,False,91.0,19
Good,76,230,6,76,22,0,0,82,38,7,6,22,2,23,21,0,0,5,,3,1,1,33,0.16,True,False,100.0,7
Bad,68,145,15,67,18,2,1,90,8,3,3,20,0,85,35,3,3,0,64.0,0,3,1,75,0.4901960784313725,True,True,90.0,15
Good,80,124,10,54,17,1,0,94,69,7,5,18,1,44,0,2,1,28,62.0,2,3,0,63,0.16,True,False,94.0,11
Bad,59,117,10,45,11,1,1,91,3,6,6,11,1,36,0,3,3,105,,4,1,2,83,0.4901960784313725,True,True,100.0,9
Bad,56,197,6,115,16,4,3,74,4,6,2,19,3,32,35,5,5,12,70.0,1,2,0,75,0.4901960784313725,True,True,84.0,14
Bad,85,269,18,145,20,0,0,100,122,7,7,20,0,25,10,0,0,20,,5,1,0,64,0.16,False,False,100.0,12
