age,children,income,numHandsets,handsetAge,smartPhone,creditRating,homeOwner,creditCard,avgBill,avgMins,avgrecurringCharge,avgOverBundleMins,avgRoamCalls,callMinutesChangePct,billAmountChangePct,avgReceivedMins,avgOutCalls,avgInCalls,peakOffPeakRatio,peakOffPeakRatioChangePct,avgDroppedCalls,lifeTime,lastMonthCustomerCareCalls,numRetentionCalls,numRetentionOffersAccepted,newFrequentNumbers,churn
56,False,7,1,324,True,B,False,true,30.26,0.25,39.99,0.0,0.0,-0.005,-0.0054,0.0,0.33,0.0,0.0,5.108432366000001,0.0,11,0.0,0,0,0,True
34,False,0,2,412,True,F,True,false,58.31,623.0,56.25,0.0,0.3,-12.36,-1.1662,157.73,28.33,1.33,2.907507683,-4.533334731,28.33,30,0.0,1,0,0,False
50,True,6,2,397,True,B,False,true,52.71,261.75,31.98,25.75,0.0,3.065,0.371,37.08,0.67,0.0,3.333636364,-1.145834113,3.0,22,0.0,0,0,0,True
32,False,6,3,290,True,C,False,true,143.56,639.25,49.98,321.5,0.0,8.995,2.8776,253.19,14.33,11.33,7.098380324,-13.51452156,10.33,21,0.67,0,0,0,True
34,False,0,1,684,True,D,True,false,66.33,274.0,29.99,91.0,0.0,-1.0,-0.3352,44.02,51.67,8.67,1.22932826,-2.375600263,4.67,23,0.0,0,0,0,True
54,True,5,3,159,True,E,False,true,89.23,653.0,31.37,60.5,0.0,-12.3,-2.5278,151.86,49.67,37.33,1.278082076,-13.40019907,39.33,8,2.0,0,0,0,False
34,False,0,1,244,True,D,True,false,60.77,309.75,59.99,0.0,2.28,-0.835,0.1666,58.7,5.67,3.33,1.0532,-0.67798676,6.33,9,0.0,0,0,0,False
40,True,4,1,328,True,E,False,true,73.95,1318.0,59.99,50.75,0.82,-1.96,-0.2152,291.55,23.33,2.67,0.898190147,11.56461178,21.0,11,11.0,0,0,0,True
48,False,8,1,705,True,A,False,true,33.76,84.5,29.99,0.0,0.0,-0.75,-0.0104,12.71,4.0,0.67,2.567,-16.64987334,1.67,23,0.0,0,0,0,True
28,False,3,2,299,True,B,False,true,76.98,636.0,74.99,0.0,0.0,4.64,-0.0398,157.04,35.67,9.67,0.8297080290000001,13.809085199999998,7.0,21,0.0,0,0,1,False
62,False,3,1,547,True,B,False,true,29.99,110.0,29.99,0.0,0.0,0.52,0.0,2.24,4.33,0.0,1.920768307,12.40986229,1.0,18,0.0,0,0,0,False
54,False,9,2,604,True,A,False,true,33.05,148.75,32.49,1.25,0.0,-0.195,-0.0112,19.55,26.0,3.67,3.5,16.00876295,4.0,40,0.67,0,0,0,True
34,False,0,1,338,True,C,True,false,60.97,538.75,39.99,88.5,0.0,-3.555,-0.6196,96.28,34.0,3.67,0.82497422,9.765445333999999,6.67,11,0.67,0,0,0,True
50,True,6,1,811,False,A,False,true,16.99,8.25,16.99,0.0,0.0,-0.045,0.0,0.0,0.0,0.0,0.665,-11.74367899,0.0,27,0.0,0,0,0,False
56,True,6,2,372,True,B,False,true,66.76,317.5,69.99,3.0,1.88,-3.59,-0.0654,61.8,16.67,3.67,1.531016949,9.074126424,18.33,13,0.0,0,0,0,True
32,False,7,1,666,True,E,False,true,34.99,697.75,44.99,0.0,0.0,4.365,0.0,87.39,11.67,4.67,1.220037319,20.25497997,4.33,22,0.0,0,0,0,False
24,False,0,5,311,True,C,True,false,53.97,278.75,42.48,65.0,0.58,-2.435,-0.2002,28.36,42.67,7.0,0.52609375,-13.99318508,5.33,18,0.0,0,0,0,False
38,False,7,1,310,True,B,False,true,75.14,510.75,39.99,129.0,0.0,-2.755,-0.903,221.81,36.67,20.33,2.006892358,0.426582108,4.67,11,0.0,0,0,0,True
28,False,7,1,536,True,B,False,true,36.2,57.0,34.98,0.0,0.16,-0.08,0.0152,12.52,3.67,0.0,17.29323308,5.887899478,0.67,18,0.0,0,0,0,True
34,False,0,1,354,True,C,True,false,151.99,886.33,33.33,377.67,1.6,0.0,0.0,254.1,32.67,1.33,1.6775,9.170288689,10.33,12,0.33,0,0,0,True
52,False,9,1,451,True,B,False,true,59.99,152.75,69.99,0.0,0.0,-2.195,0.0,0.0,0.0,0.0,0.0,-1.342288525,0.0,15,0.0,0,0,0,True
50,True,9,1,307,True,B,False,true,35.19,332.0,44.99,0.0,0.2,1.82,0.004,99.52,21.0,1.33,0.568804348,-15.1035779,4.67,11,0.0,0,0,0,True
32,False,9,4,4,True,C,False,true,88.87,284.75,85.0,18.5,1.88,1.205,-0.319,25.17,9.67,5.33,1.750060489,4.157200347,8.67,39,0.0,0,0,0,True
54,True,3,1,266,False,C,False,true,8.23,0.0,8.23,0.0,0.0,0.0,0.0356,0.0,0.0,0.0,0.0,-3.082872328,0.0,9,0.0,0,0,0,True
34,False,0,1,614,True,A,True,false,9.85,141.0,6.45,7.0,0.86,-1.34,0.003,29.99,6.67,5.67,2.8461538460000004,7.317512225,5.0,20,0.0,0,0,0,True
28,False,7,1,533,True,B,False,true,44.64,1014.0,44.99,10.0,6.04,7.5,-0.193,144.53,47.0,17.67,0.457091354,-18.55979452,30.33,18,14.0,0,0,0,True
26,False,1,1,706,True,C,False,true,67.49,61.5,29.99,0.0,0.0,-0.95,2.2498,3.54,2.33,1.0,1.055833333,2.516535319,6.33,24,1.0,1,1,0,True
54,True,9,1,182,True,B,False,true,56.26,250.25,29.99,51.0,3.05,0.935,0.382,7.85,10.67,3.33,0.415592647,-1.457048052,2.0,6,0.0,0,0,0,True
52,False,6,2,161,True,G,False,true,56.7,879.25,50.72,0.0,0.0,-14.705,-1.134,484.92,44.33,15.33,1.262651515,1.258750094,14.67,8,0.0,1,0,1,True
36,False,4,2,225,True,E,False,true,49.99,88.25,69.99,0.0,0.0,-0.585,0.0,19.75,10.33,1.67,1.184586987,11.57788577,1.0,11,0.0,0,0,0,True
26,False,6,1,326,True,D,False,true,30.19,322.5,29.99,0.5,0.0,-2.37,-0.004,72.08,19.0,1.0,1.112359551,-4.318838975,11.0,11,2.67,0,0,0,False
54,False,7,2,242,True,B,False,true,137.1,670.5,39.99,219.0,4.32,28.05,5.459,11.13,9.33,1.33,2.011926274,-4.45898523,6.0,15,2.0,0,0,0,True
24,False,5,1,346,True,B,False,true,67.72,297.0,69.99,0.0,2.2,3.56,0.0876,37.13,13.0,4.67,1.761677463,-9.857742828,5.67,11,1.67,0,0,0,False
46,False,0,1,199,True,B,True,false,76.91,856.25,84.99,0.0,0.51,7.715,0.002,157.1,26.0,0.0,1.9,-16.1716697,54.33,7,0.0,0,0,0,False
40,False,0,1,615,True,A,True,false,10.5,6.25,5.0,5.5,0.0,-0.125,-0.11,0.0,0.0,0.0,9.090909091,-9.440182948,1.0,20,0.0,0,0,0,True
32,False,7,2,216,True,B,False,true,133.42,993.25,68.94,85.0,30.9,1.775,-1.0066,161.25,12.0,2.33,4.227753154,-0.7180330009999999,10.33,22,0.0,0,0,2,False
40,True,4,1,403,True,B,False,true,15.58,315.0,29.99,9.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,-23.18801201,0.0,14,0.0,1,0,3,True
34,False,0,2,299,True,B,True,false,67.39,322.75,59.99,22.75,0.0,2.705,0.0228,57.87,10.0,1.0,0.862954592,-7.756250627000001,3.0,15,0.0,0,0,0,False
44,True,6,2,131,True,G,False,true,98.37,1545.75,49.99,144.25,0.71,-1.975,-0.0916,446.2,139.67,45.0,0.653881666,5.0701698330000005,22.0,12,3.0,0,0,0,True
34,False,0,1,332,False,A,True,false,38.92,197.25,29.99,25.5,0.0,-0.425,-0.1786,0.0,0.0,0.0,0.0,-3.161857943,0.0,11,0.0,0,0,0,True
42,False,8,2,14,True,B,False,true,156.16,628.25,30.0,272.5,4.06,-3.785,0.0202,195.9,27.67,6.67,3.656764706,-13.00937608,10.0,25,0.0,0,0,0,False
36,True,8,1,649,False,A,False,true,15.62,24.5,11.99,22.25,0.0,0.03,0.0104,2.18,3.67,1.67,1.705467372,-12.03495826,0.33,22,0.0,0,0,0,True
34,False,0,1,923,True,E,False,false,129.52,795.0,34.99,201.25,4.55,-5.96,-1.4454,62.42,38.33,3.67,0.815372731,-3.279686368,9.67,30,0.0,0,0,0,False
44,True,9,3,192,True,A,False,true,69.73,309.5,69.51,25.0,0.0,-0.41,0.4258,40.2,55.67,16.33,2.982415309,2.710049224,3.67,40,0.0,0,0,0,False
